, x_17, y_17, x_18, y_18, x_19, y_19, x_20, y_20, x_21, y_21
0,112.5,89.3,123.1,83.5,135.8,82.9,148.3,85.5,159.4,90.9
1,112.7,88.9,123.6,83.3,136.4,82.7,148.9,85.5,159.8,91.3
2,112.7,88.7,123.7,83.1,136.5,82.6,148.9,85.5,159.9,91.3
3,111.3,89.4,122.3,83.5,135.2,82.8,147.8,85.7,159.0,91.7
4,111.1,89.2,122.2,83.6,135.1,83.1,147.5,86.1,158.6,92.1
5,110.9,90.1,121.7,84.4,134.3,83.6,146.6,86.4,157.5,92.2
6,110.8,89.7,121.7,84.2,134.2,83.6,146.4,86.5,157.2,92.3
7,110.5,89.9,121.3,84.2,134.0,83.4,146.4,86.4,157.3,92.4
8,109.5,89.7,120.4,84.0,133.1,83.4,145.5,86.3,156.4,92.2
9,108.5,90.4,119.6,84.8,132.4,84.0,144.8,86.8,155.8,92.7
10,107.6,88.5,118.9,83.2,131.6,82.6,143.9,85.6,154.8,91.4
11,107.8,88.5,118.2,83.5,129.9,82.7,141.4,85.2,151.8,90.0
12,108.8,88.1,118.8,83.2,129.9,82.4,141.0,84.7,150.8,89.2
13,109.9,93.1,116.1,86.0,125.3,83.3,135.3,83.1,143.9,84.9
14,111.5,95.8,116.7,88.3,125.7,85.3,135.3,84.4,143.4,85.7
15,115.1,96.0,117.9,89.1,124.8,85.8,132.9,84.8,140.7,86.2
16,115.4,96.2,117.9,89.2,124.9,85.8,133.1,84.8,141.2,86.3
17,115.3,96.1,117.7,89.3,124.6,85.9,132.9,84.9,141.0,86.3
18,115.1,96.4,117.5,89.5,124.4,86.0,132.8,84.9,141.1,86.4
19,114.5,96.4,116.9,89.4,123.9,85.9,132.2,84.9,140.5,86.3
20,114.6,96.5,116.8,89.5,123.7,85.9,132.2,84.8,140.5,86.4
21,114.7,96.7,116.9,89.7,123.8,86.1,132.2,85.0,140.6,86.5
22,114.9,96.9,117.0,89.7,124.0,86.0,132.5,84.9,140.9,86.5
23,113.6,96.0,116.0,89.2,123.0,85.8,131.5,84.9,139.9,86.6
24,113.7,96.8,115.8,89.7,122.6,86.1,131.1,85.1,139.7,86.8
25,113.2,96.6,115.2,89.5,122.1,85.9,130.7,84.9,139.2,86.7
26,112.6,95.8,114.9,89.0,121.9,85.6,130.4,84.8,138.8,86.5
27,113.6,97.2,115.3,89.9,122.2,86.1,130.8,85.0,139.4,86.6
28,114.3,97.6,115.9,90.4,122.7,86.6,131.2,85.4,139.6,87.0
29,114.1,96.5,116.3,89.8,123.1,86.5,131.1,85.4,139.0,86.8
30,114.1,97.1,116.0,90.2,122.6,86.7,130.7,85.5,138.6,86.9
31,112.9,96.8,114.4,89.9,120.8,86.3,128.9,85.3,137.0,86.9
32,112.8,96.5,114.4,89.6,120.8,86.2,128.8,85.3,136.8,86.8
33,111.8,95.9,113.1,89.0,119.2,85.5,127.2,84.7,135.2,86.6
34,110.3,94.7,111.5,87.9,117.3,84.7,125.0,84.1,132.7,86.2
35,109.6,94.9,110.0,87.9,115.4,84.6,122.7,83.8,130.0,85.8
36,108.4,94.0,108.5,87.0,113.6,83.7,120.6,82.9,127.5,84.9
37,107.9,93.4,108.3,86.6,113.5,83.6,120.4,83.0,127.2,84.9
