, x_22, y_22, x_23, y_23, x_24, y_24, x_25, y_25, x_26, y_26
0,181.0,91.6,190.7,87.5,200.2,86.2,209.2,87.8,215.1,94.1
1,181.3,91.9,190.7,87.6,199.9,86.2,208.7,87.5,214.3,93.5
2,181.2,92.0,190.6,87.7,199.8,86.3,208.5,87.4,214.3,93.3
3,180.5,92.4,189.8,88.1,199.0,86.5,207.8,87.4,213.5,93.3
4,179.7,92.8,188.9,88.5,198.0,86.9,206.8,87.7,212.7,93.3
5,178.9,92.8,187.8,88.5,196.8,86.9,205.4,87.7,211.1,93.3
6,178.1,92.9,187.3,88.5,196.4,86.9,205.1,87.8,210.7,93.4
7,178.0,93.0,187.3,88.6,196.5,87.0,205.2,88.1,210.6,94.0
8,176.5,92.7,185.9,88.1,195.3,86.5,204.2,87.5,209.9,93.4
9,175.8,93.0,185.3,88.5,194.8,86.8,203.7,87.9,209.0,93.9
10,175.5,91.8,184.7,87.5,193.9,85.8,202.5,86.7,208.0,92.2
11,174.0,90.4,183.7,86.8,193.3,85.5,202.5,87.0,208.6,92.5
12,172.9,89.5,183.0,86.0,192.8,84.9,202.3,86.6,208.9,92.1
13,159.3,81.4,169.6,76.2,180.2,74.1,190.9,75.9,199.3,81.7
14,156.9,80.7,166.8,74.4,177.5,71.6,188.6,73.2,197.6,78.9
15,153.5,81.6,161.7,74.7,171.6,70.8,182.4,70.2,191.9,74.0
16,152.6,82.0,160.5,74.9,170.5,70.7,181.4,70.0,190.9,73.8
17,152.3,81.9,160.2,74.9,170.1,70.6,181.0,69.7,190.5,73.4
18,151.9,82.1,159.8,74.9,169.8,70.5,180.8,69.7,190.4,73.5
19,151.8,82.0,159.9,74.9,169.9,70.6,180.9,69.7,190.4,73.5
20,151.9,82.1,160.0,75.0,170.1,70.8,181.2,70.1,190.6,74.0
21,151.8,82.2,160.0,75.0,170.2,70.7,181.4,70.1,190.9,74.0
22,151.8,82.3,159.9,75.1,170.3,70.7,181.6,70.1,191.2,74.3
23,151.7,82.4,159.8,75.1,170.1,70.6,181.4,69.7,191.1,73.4
24,151.3,82.5,159.4,75.2,169.8,70.8,181.2,70.1,190.8,74.2
25,150.3,82.5,158.5,75.2,169.0,70.7,180.5,70.1,190.2,74.3
26,150.3,82.3,158.5,75.1,168.8,70.7,180.1,69.9,189.8,73.6
27,150.3,82.5,158.5,75.2,168.9,70.8,180.4,70.3,190.0,74.6
28,149.9,82.8,158.0,75.5,168.5,71.0,180.0,70.6,189.6,74.8
29,149.4,82.5,157.5,75.4,167.7,71.1,178.9,70.6,188.4,74.5
30,148.9,82.6,156.9,75.5,167.2,71.2,178.4,70.8,187.9,74.9
31,147.5,82.7,155.9,75.4,166.5,71.1,178.1,70.7,187.9,74.9
32,147.5,82.6,155.8,75.4,166.3,71.1,177.7,70.6,187.4,74.7
33,145.0,82.8,153.5,75.4,164.4,71.1,176.3,71.0,186.2,75.4
34,142.0,82.6,150.9,75.3,162.4,71.2,174.7,71.5,184.9,76.2
35,138.7,82.0,147.5,74.8,159.1,70.9,171.5,71.6,181.7,76.8
36,136.2,81.3,145.2,74.5,157.0,70.9,169.3,72.1,179.4,77.7
37,136.2,81.3,145.0,74.6,156.3,71.1,168.3,72.2,178.3,77.5
38,134.0,80.4,143.0,73.9,154.3,70.6,166.3,71.4,176.5,76.3
39,132.5,79.2,141.3,72.7,152.5,69.3,164.3,70.0,174.6,74.5
40,130.3,78.0,139.3,71.5,150.9,68.0,163.1,68.9,173.6,73.8
41,128.0,77.7,137.1,71.3,148.8,67.9,161.0,69.0,171.5,74.1
42,127.5,77.6,136.3,71.1,148.0,67.6,160.2,68.7,170.7,73.7
43,125.0,77.1,134.0,70.9,145.7,67.8,157.8,69.0,168.3,74.1
44,123.0,77.2,131.8,71.4,143.2,68.4,155.0,69.7,165.2,74.9
45,121.6,77.0,130.5,71.5,141.6,69.0,152.9,70.6,162.7,75.8
46,117.7,77.4,126.3,72.0,137.4,69.4,148.8,70.9,158.8,76.3
47,116.6,77.1,125.2,71.6,136.4,69.0,148.1,70.6,158.2,76.1
48,114.7,77.7,123.3,72.1,134.6,69.4,146.4,71.0,156.7,76.7
49,114.1,78.1,122.6,72.6,133.7,69.9,145.5,71.5,155.6,77.2
50,113.4,78.4,122.0,73.0,133.3,70.4,145.1,72.0,155.2,77.7
51,111.9,80.0,120.8,74.5,132.2,71.8,144.2,73.4,154.6,78.9
52,111.2,80.0,120.3,74.5,132.1,71.8,144.4,73.4,155.0,79.0
53,110.1,81.1,119.1,75.6,130.8,72.8,143.1,74.4,153.6,79.8
54,108.2,81.7,117.2,76.2,128.7,73.3,140.9,74.6,151.4,79.9
55,108.0,82.2,116.6,76.9,127.4,74.1,138.9,75.2,148.9,80.1
56,105.8,83.3,114.4,77.7,125.6,74.6,137.7,75.4,148.3,80.1
57,105.5,82.7,114.2,76.8,125.7,73.4,138.0,73.9,149.0,78.5
58,105.3,82.7,114.1,76.6,125.6,73.1,138.0,73.4,149.1,77.9
59,105.1,82.6,114.0,76.5,125.5,73.0,138.0,73.4,149.0,77.9
60,104.6,82.2,113.4,76.1,124.9,72.5,137.3,72.9,148.4,77.3
61,104.9,81.3,113.9,75.3,125.6,71.8,138.0,72.4,149.0,77.0
62,104.8,81.6,113.7,75.5,125.3,72.0,137.8,72.5,148.8,77.1
63,106.4,79.8,115.7,74.0,127.3,70.6,139.7,71.3,150.6,75.9
64,106.9,78.9,116.3,73.0,128.0,69.6,140.4,70.2,151.2,74.7
65,108.2,77.6,117.6,71.6,129.3,68.1,141.6,68.6,152.5,73.1
66,109.5,76.2,118.9,70.2,130.7,66.8,143.1,67.3,153.9,71.9
67,110.1,75.9,119.7,69.9,131.7,66.5,144.2,67.2,155.2,71.9
68,111.8,74.6,121.3,68.5,133.2,65.2,145.7,65.8,156.7,70.6
69,113.0,74.0,122.2,67.8,133.7,64.4,145.9,64.8,156.7,69.1
70,112.3,73.8,121.6,67.6,133.4,64.1,145.6,64.5,156.7,68.9
71,114.1,72.6,123.5,66.4,134.8,62.9,147.0,63.3,157.6,68.2
72,112.8,73.1,122.5,67.3,134.2,64.1,146.3,64.8,156.9,70.2
