, face_id, success, x_17, y_17, x_18, y_18, x_19, y_19, x_20, y_20, x_21, y_21, x_22, y_22, x_23, y_23, x_24, y_24, x_25, y_25, x_26, y_26, x_27, y_27, x_28, y_28, x_29, y_29, x_30, y_30, x_31, y_31, x_32, y_32, x_33, y_33, x_34, y_34, x_35, y_35, x_36, y_36, x_37, y_37, x_38, y_38, x_39, y_39, x_40, y_40, x_41, y_41, x_42, y_42, x_43, y_43, x_44, y_44, x_45, y_45, x_46, y_46, x_47, y_47, x_48, y_48, x_49, y_49, x_50, y_50, x_51, y_51, x_52, y_52, x_53, y_53, x_54, y_54, x_55, y_55, x_56, y_56, x_57, y_57, x_58, y_58, x_59, y_59, x_60, y_60, x_61, y_61, x_62, y_62, x_63, y_63, x_64, y_64, x_65, y_65, x_66, y_66, x_67, y_67,filename
0,0,0,842.1,230.9,851.0,219.0,865.7,215.4,881.6,218.5,896.6,225.8,930.2,227.5,946.8,221.6,963.3,220.6,979.3,224.6,990.6,235.1,913.0,247.0,911.5,259.9,909.9,272.7,908.1,286.2,891.2,299.1,900.1,302.5,908.8,305.3,918.3,303.5,927.3,301.7,860.7,247.5,870.5,242.6,882.1,243.5,891.7,250.9,881.1,252.4,869.7,251.6,938.8,253.3,949.6,246.9,961.6,247.7,971.3,253.6,961.8,256.6,950.1,256.2,872.5,328.5,884.7,321.5,898.1,319.1,907.1,321.9,917.7,320.3,932.4,324.8,947.1,332.9,931.8,343.7,917.0,347.8,905.6,348.2,895.8,346.9,883.0,341.4,878.2,328.9,897.6,328.3,906.9,329.6,917.6,329.3,941.0,332.8,917.1,335.8,906.2,336.2,896.8,334.9,image1.jpg
1,1,1,203.1,227.3,213.8,217.0,229.1,212.6,245.3,213.3,259.5,218.1,286.6,215.9,296.3,210.0,305.9,207.5,315.4,208.5,322.8,215.6,275.4,238.6,279.1,251.2,282.9,263.7,286.7,276.5,264.1,288.7,273.2,290.8,282.2,292.5,289.2,289.7,295.1,286.6,220.8,245.8,231.2,239.9,241.8,239.6,250.9,245.8,241.8,248.4,231.3,248.8,289.7,242.7,297.9,235.3,306.9,234.4,313.1,239.0,308.5,242.9,299.7,244.0,243.4,316.1,260.2,308.2,274.6,304.3,282.7,305.7,290.1,303.0,297.8,305.4,302.6,310.7,298.3,322.2,291.8,327.7,283.5,329.4,274.9,329.6,260.2,326.4,248.5,315.9,274.1,311.8,282.4,311.8,290.1,310.4,299.4,311.5,289.8,318.2,282.0,319.9,273.5,320.0,image1.jpg
2,0,0,846.7,230.1,855.7,218.7,870.3,215.5,886.6,218.9,901.2,226.5,933.6,228.8,950.9,223.5,968.0,223.7,983.4,230.1,993.2,242.2,915.6,249.6,913.7,262.2,911.7,274.6,909.5,287.7,891.2,299.6,899.9,303.6,908.6,307.0,918.1,305.9,927.0,305.0,863.1,247.9,873.4,243.7,884.8,245.2,894.3,252.8,883.8,253.5,872.4,252.4,940.2,256.7,951.7,251.0,963.4,252.3,972.8,258.4,963.3,261.0,951.6,260.1,870.2,327.1,883.2,321.5,897.1,320.1,905.9,323.6,916.7,322.6,931.2,327.8,945.0,336.0,929.2,347.9,914.0,351.8,902.4,351.4,892.7,349.3,880.0,341.7,875.8,327.9,895.7,329.1,904.9,331.1,915.7,331.7,939.5,335.7,914.6,340.2,903.5,339.8,894.1,337.5,image2.jpg
3,1,1,202.4,227.4,213.1,216.9,228.3,212.2,244.6,212.9,259.1,217.7,286.3,215.6,295.6,210.2,305.0,207.7,314.5,208.3,321.9,215.1,275.7,238.1,279.4,250.9,283.4,263.5,287.3,276.5,264.4,288.7,273.6,290.7,282.7,292.5,289.7,289.6,295.6,286.4,220.9,245.7,231.1,239.9,241.8,239.6,250.9,245.8,241.8,248.4,231.2,248.8,289.5,242.7,297.8,235.4,306.8,234.6,313.1,239.0,308.4,242.9,299.6,244.0,243.4,316.1,260.0,308.4,274.5,304.3,282.7,305.8,290.0,303.0,297.7,305.3,302.7,310.3,298.2,321.8,291.7,327.5,283.6,329.3,274.9,329.6,260.2,326.6,248.3,315.9,274.1,311.9,282.5,311.9,290.1,310.4,299.5,311.3,289.9,317.6,282.2,319.5,273.7,319.8,image2.jpg
4,0,0,847.6,230.4,856.8,218.0,872.7,214.7,890.3,218.7,905.7,227.1,935.7,230.6,953.8,226.0,971.2,227.2,986.7,234.7,995.8,247.7,917.6,251.5,915.6,263.6,913.5,275.6,911.0,288.3,891.3,299.4,900.0,304.1,908.6,307.9,918.2,307.1,927.1,306.7,864.0,248.0,874.7,244.6,885.9,246.3,895.0,253.5,884.7,254.1,873.7,252.6,942.9,259.7,954.2,255.3,965.6,257.2,974.6,263.2,965.1,265.3,953.7,263.9,867.9,326.5,882.1,321.8,896.4,321.5,905.1,325.5,916.0,325.0,930.2,330.6,942.9,339.1,927.0,351.1,911.6,354.5,900.0,353.4,890.2,350.6,877.5,342.0,873.7,327.7,894.2,330.2,903.5,332.8,914.3,334.0,937.7,338.6,912.5,343.1,901.5,341.9,892.0,339.0,image3.jpg
5,1,1,203.6,226.9,214.4,216.4,229.6,211.6,245.7,212.2,260.1,217.0,287.2,214.8,296.2,209.4,305.4,206.9,314.6,207.4,321.8,214.2,276.8,237.3,280.6,250.2,284.7,262.8,288.8,275.9,266.0,288.2,275.1,290.1,284.1,291.8,291.1,288.9,296.8,285.6,222.2,245.3,232.4,239.3,243.1,239.0,252.1,245.2,243.1,247.9,232.5,248.4,290.2,242.0,298.5,234.7,307.4,233.8,313.5,238.3,309.0,242.2,300.3,243.3,245.3,315.6,261.6,307.7,275.9,303.6,284.0,305.0,291.2,302.1,298.7,304.5,303.5,309.6,299.3,320.9,292.9,326.5,285.0,328.4,276.4,328.7,261.8,325.8,250.0,315.4,275.6,311.2,283.8,311.1,291.3,309.5,300.4,310.6,291.1,316.7,283.6,318.6,275.2,319.0,image3.jpg
6,0,0,851.7,228.3,861.4,216.9,877.4,214.4,894.8,219.1,909.7,227.8,938.2,232.2,956.7,228.5,973.9,230.7,988.6,239.1,996.6,252.2,919.5,253.4,917.2,265.3,914.8,277.2,912.0,289.7,891.4,299.7,899.8,304.9,908.3,309.2,917.9,308.8,926.7,308.6,866.4,247.9,876.8,245.5,887.5,247.4,895.9,253.7,886.0,254.2,875.8,252.4,944.3,261.9,954.8,258.9,965.5,261.3,973.9,267.0,964.7,268.3,954.2,266.5,866.3,326.3,881.1,322.3,895.4,323.0,904.0,327.4,914.9,327.4,928.7,333.1,940.5,341.8,924.5,353.5,909.1,356.3,897.6,354.7,887.9,351.3,875.5,342.1,872.0,327.7,892.7,331.5,902.0,334.6,912.7,336.3,935.6,341.2,910.4,345.1,899.5,343.5,890.1,340.1,image4.jpg
7,1,1,204.7,226.5,215.3,216.0,230.4,211.1,246.4,211.6,260.7,216.3,287.8,214.1,296.6,208.8,305.6,206.3,314.7,206.8,321.8,213.5,277.6,236.8,281.5,249.7,285.7,262.3,289.9,275.4,267.1,287.7,276.3,289.6,285.2,291.3,292.1,288.4,297.7,285.1,223.3,245.1,233.5,239.0,244.1,238.7,253.0,244.9,244.1,247.6,233.6,248.1,290.8,241.6,298.8,234.3,307.7,233.4,313.7,237.9,309.4,241.8,300.7,242.9,246.4,315.3,262.6,307.3,276.9,303.1,285.1,304.4,292.2,301.6,299.5,304.0,304.2,309.1,300.1,320.4,293.9,325.9,286.1,327.8,277.5,328.1,263.0,325.3,251.1,315.1,276.7,310.7,284.9,310.5,292.3,309.0,301.1,310.1,292.1,316.1,284.7,318.1,276.3,318.5,image4.jpg
8,0,0,855.6,226.5,865.7,216.3,881.2,214.6,897.7,220.0,911.5,229.1,939.9,234.4,958.1,231.3,974.9,233.8,988.8,242.6,995.7,255.8,920.0,255.4,917.2,267.7,914.2,280.0,910.8,292.9,890.8,301.9,898.8,307.3,906.9,311.7,916.3,311.5,924.9,311.4,868.2,247.8,878.5,245.5,888.9,248.0,896.8,254.8,887.1,255.1,877.0,252.9,944.2,264.7,954.6,261.8,965.2,264.4,973.0,270.4,964.1,271.7,953.8,269.6,866.2,327.2,880.5,324.0,894.0,325.1,902.2,329.7,912.8,330.1,926.1,335.8,937.3,344.2,921.6,354.9,906.6,357.2,895.6,355.2,886.3,351.7,874.8,342.6,871.7,328.8,891.3,333.5,900.1,336.7,910.4,338.7,932.5,343.4,908.2,346.5,897.7,344.6,888.7,341.0,image5.jpg
9,1,1,205.2,226.2,215.9,215.7,231.0,210.7,247.0,211.1,261.3,215.7,288.1,213.5,296.8,208.4,305.7,206.0,314.7,206.6,321.8,213.2,278.0,236.2,281.9,249.1,286.2,261.7,290.4,274.8,267.8,287.3,276.9,289.2,285.8,290.8,292.7,287.9,298.2,284.7,223.9,244.7,234.0,238.6,244.7,238.3,253.6,244.5,244.7,247.2,234.2,247.7,291.1,241.3,299.1,234.0,308.0,233.1,314.0,237.7,309.7,241.5,301.0,242.6,247.1,315.0,263.2,307.0,277.5,302.7,285.6,304.0,292.7,301.3,300.0,303.7,304.6,308.8,300.6,320.0,294.4,325.5,286.7,327.4,278.1,327.7,263.6,324.9,251.8,314.8,277.2,310.3,285.4,310.2,292.8,308.6,301.6,309.8,292.6,315.6,285.2,317.6,276.9,318.0,image5.jpg
